player,season,GP_sum,MIN_sum,FG_accuracy,3P_accuracy,FT_accuracy,points_per_min,overall_shooting_accuracy
Aaron White,2015 - 2016,78,2114.5,0.5338,0.3533,0.7592,0.4876,0.5788
Aaron White,2016 - 2017,16,378.3,0.4587,0.3077,0.6585,0.3674,0.4709
Aaron White,2017 - 2018,81,1597.7,0.5637,0.39,0.711,0.4281,0.5747
Aaron White,2018 - 2019,74,1624.2,0.5299,0.4032,0.7831,0.3842,0.5748
Aaron White,2019 - 2020,15,152.7,0.3214,0.25,0.8333,0.203,0.4231
Aaron Williams,1999 - 2000,81,1545.0,0.5222,0.0,0.7264,0.3987,0.5826
Aaron Williams,2000 - 2001,82,2336.0,0.4569,0.0,0.7871,0.3587,0.5624
Aaron Williams,2001 - 2002,102,1962.0,0.5178,0.0,0.7241,0.368,0.5779
Aaron Williams,2002 - 2003,100,1937.0,0.4569,0.0,0.7764,0.3216,0.529
Aaron Williams,2003 - 2004,83,1488.0,0.5067,0.3333,0.6727,0.3306,0.5562
Aatu Kivimaki,2017 - 2018,52,864.3,0.4127,0.3712,0.8372,0.339,0.4426
Aatu Kivimaki,2018 - 2019,50,886.1,0.4722,0.3926,0.7818,0.3893,0.4809
Aatu Kivimaki,2019 - 2020,32,700.0,0.4712,0.4436,0.9459,0.4143,0.5079
Abdel Moussa,2004 - 2005,10,293.2,0.449,nan,0.8125,0.1944,0.5385
Abdel Nader,2017 - 2018,48,521.5,0.3356,0.3538,0.5897,0.28,0.3794
Abdel Nader,2018 - 2019,61,693.5,0.4233,0.32,0.75,0.3475,0.4274
Abdel Nader,2019 - 2020,55,867.0,0.4677,0.375,0.7727,0.3979,0.4858
Abdel Sylla,2014 - 2015,34,585.0,0.5755,nan,0.6607,0.2718,0.6049
Abdel Sylla,2015 - 2016,31,670.0,0.5349,nan,0.561,0.2403,0.5412
Abdou Medjedoub,2018 - 2019,33,593.4,0.4966,0.1818,0.6567,0.3269,0.5286
Abdou Medjedoub,2019 - 2020,32,404.3,0.6176,0.3333,0.6829,0.3834,0.6301
Abdoulaye Loum,2014 - 2015,28,444.0,0.4558,0.2308,0.5161,0.3649,0.413
Abdoulaye Loum,2018 - 2019,39,608.0,0.4783,0.2,0.5,0.2878,0.4375
Abdoulaye Loum,2019 - 2020,25,408.0,0.5149,0.1852,0.4815,0.299,0.4516
Abdoulaye N'Doye,2017 - 2018,31,517.0,0.4,0.3182,0.5556,0.2166,0.3955
Abdoulaye N'Doye,2018 - 2019,34,881.0,0.462,0.3846,0.5278,0.235,0.4491
Abdoulaye N'Doye,2019 - 2020,25,763.0,0.5233,0.4412,0.7532,0.3316,0.576
Abdul Gaddy,2014 - 2015,33,921.0,0.4052,0.4179,0.5652,0.2606,0.429
Abdul Gaddy,2015 - 2016,30,911.0,0.4152,0.2809,0.6932,0.3469,0.4427
Abdul Gaddy,2017 - 2018,68,1696.0,0.4817,0.2676,0.6567,0.3219,0.4719
Abdul-Malik Abu,2018 - 2019,19,551.6,0.5842,0.45,0.575,0.5022,0.5724
